Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Acct_Open_Dt,Defaulted
150024,24,5,1,M,Married,203.3195946,22-07-2019,22-12-2019
144880,31,10,1,F,Single,402.1973024,21-07-2019,21-12-2019
133742,56,37,1,M,Married,553.1320959,20-07-2019,20-12-2019
151282,52,31,1,F,Married,292.4305792,19-07-2019,19-12-2019
174407,20,3,1,M,Single,246.5405761,18-07-2019,18-12-2019
142548,29,8,1,M,Married,384.6763948,17-07-2019,17-12-2019
183396,36,19,1,F,Single,462.1588562,16-07-2019,16-12-2019
106838,67,49,1,F,Married,168.9340361,15-07-2019,15-12-2019
137434,69,48,1,M,Single,69.89304091,14-07-2019,14-12-2019
192628,16,0,1,F,Single,242.7725761,13-07-2019,13-12-2019
154894,19,1,1,M,Single,763.7298567,12-07-2019,12-12-2019
187293,29,8,1,F,Single,407.3893742,11-07-2019,11-12-2019
173214,20,1,1,F,Married,161.5795211,10-07-2019,10-12-2019
163905,67,49,1,M,Married,242.8887756,09-07-2019,09-12-2019
157356,46,27,1,M,Married,358.521705,08-07-2019,08-12-2019
160387,57,40,1,M,Married,314.6620972,07-07-2019,07-12-2019
127360,65,48,1,M,Single,306.7395011,06-07-2019,06-12-2019
108345,20,1,1,M,Single,772.6448203,05-07-2019,05-12-2019
122164,67,49,1,M,Single,593.4274113,04-07-2019,04-12-2019
103555,62,45,1,M,Married,275.2144091,03-07-2019,03-12-2019
165177,44,27,1,F,Single,472.5998112,02-07-2019,02-12-2019
140896,17,0,1,M,Single,877.0778833,01-07-2019,01-12-2019
197555,29,10,1,F,Single,825.2772277,30-06-2019,30-11-2019
198709,66,49,1,F,Single,273.1567349,29-06-2019,29-11-2019
155134,22,3,1,F,Single,220.6385329,28-06-2019,28-11-2019
104183,33,16,1,M,Single,169.3764585,27-06-2019,27-11-2019
131927,69,48,1,F,Married,98.07355841,26-06-2019,26-11-2019
146242,39,22,1,M,Married,680.1630093,25-06-2019,25-11-2019
